max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,maxY,minY,meanY,medianY,varY,totalvarY,aucY,XmaxY,XminY,XmeanY,XmedianY,XvarY,XtotalvarY,XaucY,YmaxY,YminY,YmeanY,YmedianY,YvarY,YtotalvarY,YaucY,filecount,gesture
36,0,15.4875,16,139.9998418,149,1239,4,0,2.283681644,2.555443548,1.064411268,23.00432498,182.6945315,4.666666667,0,2.986641072,3.31456044,1.766827825,25.49066546,238.9312858,4605,4594,4599.975,4600,7.163924051,99,367998,3.503151489,3.499021952,3.501280035,3.501521408,7.89E-07,0.03642632193,280.1024028,3.502501631,3.497501629,3.500041002,3.500108696,7.86E-07,0.04293775039,280.0032802,5,scratch
75,0,31.8,31.5,462.8708861,256,2544,4,0,2.533328445,2.40081591,0.7363640602,11.91881285,202.6662756,5,0,3.487294541,3.71474359,0.7923694016,13.49559041,278.9835633,4608,4594,4600.2875,4600,11.67579114,129,368023,3.502717982,3.498045178,3.500327975,3.500380612,1.31E-06,0.0446769387,280.026238,3.502937976,3.498042627,3.500477053,3.5006526,1.16E-06,0.04403134506,280.0381643,5,scratch
103,0,27.9,24.5,397.0278481,244,2232,2.4,0,1.785238392,1.80726601,0.2708121473,8.549437217,142.8190713,3.476190476,0,2.666804291,2.73907767,0.4902384829,10.12758152,213.3443433,4614,4597,4603.7,4603,16.49113924,112,368296,3.502282113,3.495989595,3.49965344,3.499619766,2.02E-06,0.04408163409,279.9722752,3.500543596,3.496416938,3.498270689,3.498156582,6.10E-07,0.0410480517,279.8616551,5,scratch
212,97,169.1875,172,749.6985759,405,13535,3.944785276,3.573863636,3.739553217,3.737132029,0.00734712091,2.176404385,299.1642573,3.757763975,3.006993007,3.478186167,3.478857451,0.02829597577,3.514868822,278.2548933,4598,4587,4591.6625,4592,7.365664557,106,367333,3.501525054,3.494775795,3.497622279,3.497656682,2.25E-06,0.04070902418,279.8097823,3.504033137,3.499673558,3.502114169,3.502123009,1.17E-06,0.03769548872,280.1691335,6,scratch
209,53,138.625,151,1898.313291,410,11090,4.105263158,3.183908046,3.604394293,3.612159329,0.02969658216,2.953936346,288.3515434,4.053333333,3.590909091,3.834584174,3.849855491,0.010567427,3.427796771,306.7667339,4601,4590,4595.0125,4595,5.65806962,91,367601,3.499238303,3.495105504,3.497403599,3.497389034,7.34E-07,0.03319256322,279.7922879,3.503482804,3.499891139,3.501891933,3.502011071,7.01E-07,0.03189124376,280.1513546,6,scratch
187,40,133.3625,146.5,2002.132753,237,10669,4.043478261,3.316666667,3.804996659,3.846028852,0.02978146674,3.323247398,304.3997327,4.492307692,3.520467836,3.949103717,3.887122417,0.04889918327,3.95982677,315.9282974,4605,4586,4595.9,4596,18.72405063,125,367672,3.500109004,3.49369291,3.496894727,3.49646553,3.00E-06,0.04624438904,279.7515781,3.503593988,3.499130435,3.501387604,3.501306051,9.19E-07,0.03840719163,280.1110083,6,scratch
206,51,114.8375,97.5,2066.89731,492,9187,3.9375,3.058139535,3.605732289,3.640502355,0.04308838776,4.449705813,288.4585831,4.43902439,3.711711712,3.998117864,4,0.03085183767,4.708978031,319.8494291,4601,4586,4595.7,4596,9.250632911,144,367656,3.499565028,3.494670437,3.497095337,3.497172069,1.42E-06,0.04113853794,279.767627,3.50511203,3.499347542,3.502282347,3.502337205,1.78E-06,0.04725118253,280.1825877,6,scratch
71,11,26.6375,21.5,204.8922468,242,2131,3,2,2.278036725,2.25,0.06284213391,6.554738005,182.242938,4.4375,2.785714286,3.775205745,3.855208333,0.1334767716,6.492939369,302.0164596,4609,4594,4602.1125,4603,16.98718354,99,368169,3.502937976,3.497287915,3.500553039,3.500705496,1.62E-06,0.03726320408,280.0442431,3.501414581,3.496413823,3.499393279,3.499402563,9.64E-07,0.04096016925,279.9514623,7,scratch
114,0,51.425,51,1287.614557,270,4114,3.116504854,0,2.436768135,2.5,0.3520061378,11.71701437,194.9414508,5.875,0,3.741362767,3.633529412,1.404887792,17.00132705,299.3090214,4611,4595,4602.3,4601,14.56708861,103,368184,3.50326087,3.497069677,3.501002746,3.501086957,1.63E-06,0.03270803889,280.0802197,3.503587736,3.498042627,3.500399744,3.500271704,2.03E-06,0.04204925801,280.0319795,7,scratch
44,0,11.2625,6,144.8036392,147,901,6,0,2.38666742,2.683333333,1.167875789,26.43999554,190.9333936,5,0,3.155171108,3.366666667,1.9287831,33.14284762,252.4136886,4610,4597,4602.6375,4603,8.33528481,123,368211,3.50271562,3.499565406,3.501234419,3.501410896,6.71E-07,0.04357807003,280.0987535,3.502283105,3.497612847,3.499998993,3.499945688,1.08E-06,0.03487188307,279.9999194,7,scratch
